id,name,type,mode,octave,inversion,split
0,A-1-aug-chord-0,chord,aug-chord,1,0,train
1,A-1-aug-chord-1,chord,aug-chord,1,1,train
2,A-1-aug-chord-2,chord,aug-chord,1,2,train
3,A-2-aug-chord-0,chord,aug-chord,2,0,train
4,A-2-aug-chord-1,chord,aug-chord,2,1,validation
5,A-2-aug-chord-2,chord,aug-chord,2,2,test
6,A-3-aug-chord-0,chord,aug-chord,3,0,train
7,A-3-aug-chord-1,chord,aug-chord,3,1,test
8,A-3-aug-chord-2,chord,aug-chord,3,2,train
9,A-4-aug-chord-0,chord,aug-chord,4,0,train
10,A-4-aug-chord-1,chord,aug-chord,4,1,train
11,A-4-aug-chord-2,chord,aug-chord,4,2,train
12,A-5-aug-chord-0,chord,aug-chord,5,0,train
13,A-5-aug-chord-1,chord,aug-chord,5,1,train
14,A-5-aug-chord-2,chord,aug-chord,5,2,train
15,A-6-aug-chord-0,chord,aug-chord,6,0,train
16,A-6-aug-chord-1,chord,aug-chord,6,1,test
17,A-6-aug-chord-2,chord,aug-chord,6,2,train
18,A-7-aug-chord-0,chord,aug-chord,7,0,train
19,A-7-aug-chord-1,chord,aug-chord,7,1,train
20,A-7-aug-chord-2,chord,aug-chord,7,2,train
21,Ab-1-aug-chord-0,chord,aug-chord,1,0,validation
22,Ab-1-aug-chord-1,chord,aug-chord,1,1,validation
23,Ab-1-aug-chord-2,chord,aug-chord,1,2,train
24,Ab-2-aug-chord-0,chord,aug-chord,2,0,train
25,Ab-2-aug-chord-1,chord,aug-chord,2,1,test
26,Ab-2-aug-chord-2,chord,aug-chord,2,2,train
27,Ab-3-aug-chord-0,chord,aug-chord,3,0,train
28,Ab-3-aug-chord-1,chord,aug-chord,3,1,train
29,Ab-3-aug-chord-2,chord,aug-chord,3,2,validation
30,Ab-4-aug-chord-0,chord,aug-chord,4,0,train
31,Ab-4-aug-chord-1,chord,aug-chord,4,1,validation
32,Ab-4-aug-chord-2,chord,aug-chord,4,2,train
33,Ab-5-aug-chord-0,chord,aug-chord,5,0,train
34,Ab-5-aug-chord-1,chord,aug-chord,5,1,train
35,Ab-5-aug-chord-2,chord,aug-chord,5,2,train
36,Ab-6-aug-chord-0,chord,aug-chord,6,0,train
37,Ab-6-aug-chord-1,chord,aug-chord,6,1,train
38,Ab-6-aug-chord-2,chord,aug-chord,6,2,train
39,Ab-7-aug-chord-0,chord,aug-chord,7,0,train
40,Ab-7-aug-chord-1,chord,aug-chord,7,1,train
41,Ab-7-aug-chord-2,chord,aug-chord,7,2,train
