File Path,Root Note,Octave,Quality,Inversion
data/chords/dim/Eb-7-dim-chord-1.wav,Eb,7,dim,1
data/chords/min7b5/C-3-min7b5-chord-1.wav,C,3,min7b5,1
data/chords/dim7/E-6-dim7-chord-0.wav,E,6,dim7,0
data/chords/min/Bb-5-min-chord-0.wav,Bb,5,min,0
data/chords/maj7_2/Ab-5-maj7_2-chord-0.wav,Ab,5,maj7_2,0
data/chords/seventh/C#-5-seventh-chord-3.wav,C#,5,seventh,3
data/chords/sixth/Bb-2-sixth-chord-1.wav,Bb,2,sixth,1
data/chords/sixth/F-1-sixth-chord-2.wav,F,1,sixth,2
data/chords/maj6/F-6-maj6-chord-0.wav,F,6,maj6,0
data/chords/maj6/D-2-maj6-chord-0.wav,D,2,maj6,0
data/chords/min7b5/F-1-min7b5-chord-1.wav,F,1,min7b5,1
data/chords/seventh/Eb-3-seventh-chord-3.wav,Eb,3,seventh,3
data/chords/dim7/A-3-dim7-chord-0.wav,A,3,dim7,0
data/chords/maj7/Eb-4-maj7-chord-3.wav,Eb,4,maj7,3
data/chords/min3/F#-5-min3-chord-0.wav,F#,5,min3,0
data/chords/min2/Ab-5-min2-chord-1.wav,Ab,5,min2,1
data/chords/dim7/A-2-dim7-chord-2.wav,A,2,dim7,2
data/chords/sixth/B-3-sixth-chord-1.wav,B,3,sixth,1
data/chords/sixth/F#-5-sixth-chord-3.wav,F#,5,sixth,3
data/chords/maj7/C#-5-maj7-chord-3.wav,C#,5,maj7,3
data/chords/maj/Ab-3-maj-chord-1.wav,Ab,3,maj,1
data/chords/dim7/Ab-4-dim7-chord-3.wav,Ab,4,dim7,3
data/chords/maj6/E-1-maj6-chord-0.wav,E,1,maj6,0
data/chords/maj3/F-5-maj3-chord-1.wav,F,5,maj3,1
data/chords/sixth/Bb-7-sixth-chord-1.wav,Bb,7,sixth,1
data/chords/aug6/F#-1-aug6-chord-0.wav,F#,1,aug6,0
data/chords/min2/B-6-min2-chord-1.wav,B,6,min2,1
data/chords/sixth/C#-5-sixth-chord-0.wav,C#,5,sixth,0
data/chords/aug/Ab-2-aug-chord-0.wav,Ab,2,aug,0
data/chords/perf4/F-1-perf4-chord-0.wav,F,1,perf4,0
data/chords/min7b5/E-5-min7b5-chord-0.wav,E,5,min7b5,0
data/chords/maj7_2/Bb-7-maj7_2-chord-0.wav,Bb,7,maj7_2,0
data/chords/aug/G-4-aug-chord-1.wav,G,4,aug,1
data/chords/sixth/C-3-sixth-chord-2.wav,C,3,sixth,2
data/chords/maj3/G-2-maj3-chord-0.wav,G,2,maj3,0
data/chords/min7b5/C#-3-min7b5-chord-0.wav,C#,3,min7b5,0
data/chords/min/E-1-min-chord-1.wav,E,1,min,1
data/chords/dim7/C-1-dim7-chord-2.wav,C,1,dim7,2
data/chords/min7b5/B-3-min7b5-chord-0.wav,B,3,min7b5,0
data/chords/sixth/Ab-2-sixth-chord-2.wav,Ab,2,sixth,2
data/chords/min3/F#-2-min3-chord-0.wav,F#,2,min3,0
data/chords/maj6/Eb-4-maj6-chord-1.wav,Eb,4,maj6,1
data/chords/octave/A-2-octave-chord-0.wav,A,2,octave,0
data/chords/maj/Bb-3-maj-chord-2.wav,Bb,3,maj,2
data/chords/dim7/Eb-5-dim7-chord-0.wav,Eb,5,dim7,0
data/chords/dim7/Ab-5-dim7-chord-2.wav,Ab,5,dim7,2
data/chords/seventh/Eb-4-seventh-chord-0.wav,Eb,4,seventh,0
data/chords/min3/Eb-1-min3-chord-0.wav,Eb,1,min3,0
data/chords/maj3/A-1-maj3-chord-1.wav,A,1,maj3,1
data/chords/octave/D-5-octave-chord-0.wav,D,5,octave,0
data/chords/perf4/F#-6-perf4-chord-1.wav,F#,6,perf4,1
data/chords/dim/C-1-dim-chord-2.wav,C,1,dim,2
data/chords/perf5/Eb-5-perf5-chord-1.wav,Eb,5,perf5,1
data/chords/sixth/B-6-sixth-chord-0.wav,B,6,sixth,0
data/chords/sus2/E-4-sus2-chord-0.wav,E,4,sus2,0
data/chords/perf4/Bb-7-perf4-chord-0.wav,Bb,7,perf4,0
data/chords/perf4/C-7-perf4-chord-0.wav,C,7,perf4,0
data/chords/min7/B-7-min7-chord-0.wav,B,7,min7,0
data/chords/min/Eb-6-min-chord-0.wav,Eb,6,min,0
data/chords/maj3/Ab-3-maj3-chord-1.wav,Ab,3,maj3,1
data/chords/dim7/A-1-dim7-chord-1.wav,A,1,dim7,1
data/chords/maj7/Eb-5-maj7-chord-3.wav,Eb,5,maj7,3
data/chords/min2/Bb-2-min2-chord-0.wav,Bb,2,min2,0
data/chords/maj7/A-5-maj7-chord-2.wav,A,5,maj7,2
data/chords/dim/F-6-dim-chord-1.wav,F,6,dim,1
data/chords/maj3/G-6-maj3-chord-0.wav,G,6,maj3,0
data/chords/min7/Bb-1-min7-chord-3.wav,Bb,1,min7,3
data/chords/min/A-1-min-chord-1.wav,A,1,min,1
data/chords/perf5/A-4-perf5-chord-1.wav,A,4,perf5,1
data/chords/sixth/E-3-sixth-chord-3.wav,E,3,sixth,3
data/chords/min7b5/C-1-min7b5-chord-3.wav,C,1,min7b5,3
data/chords/sixth/G-1-sixth-chord-0.wav,G,1,sixth,0
